name,rarity,faceConvertedManaCost,colors,originalType,printings,uuid
Patron of the Akki,rare,,R,Legendary Creature - Spirit,"BOK, PLST",4ec8baf0-5481-5917-9a46-6d868ad41dfc
"Mishra, Eminent One",mythic,,"B, R, U",Legendary Creature — Human Artificer,"BRC, PRM",f8073c59-0833-5ab6-9e07-e1a55867fe04
"Urza, Chief Artificer",mythic,,"B, U, W",Legendary Creature — Human Artificer,"BRC, PRM",b82e970d-ab5b-5a2e-9333-df1faaab7b3e
"Tawnos, Solemn Survivor",mythic,,U,Legendary Creature — Human Artificer,BRC,ce083a70-7cb2-5f51-b803-013e19350b59
Ashnod the Uncaring,mythic,,"B, R, U",Legendary Creature — Human Artificer,"BRC, PRM",cf08de10-eeba-542e-ad88-21f3b1fff0d1
"Sanwell, Avenger Ace",rare,,W,Legendary Creature — Human Pilot,"BRC, PRM",39acba71-1b06-55bf-b6e0-58400ff3c361
"Farid, Enterprising Salvager",rare,,R,Legendary Creature — Human Soldier,"BRC, PRM",fe681202-9267-5415-a110-4f9dde4e15af
"Titania, Nature's Force",mythic,,G,Legendary Creature — Elemental,"BRC, PRM",191b4470-92fa-5579-9145-4a737e691b5c
The Archimandrite,rare,,"R, U, W",Legendary Creature — Human Advisor,"BRC, PRM",5f8348c8-b7ff-5c6b-a19f-4c12b348afeb
"Losheel, Clockwork Scholar",rare,,W,Legendary Creature — Elephant Artificer,"BRC, C21, CMM, PRM",7ee5492f-c848-51b4-8546-d63edcf9cccf
"Teshar, Ancestor's Apostle",rare,,W,Legendary Creature — Bird Cleric,"BRC, CMM, DMC, DOM, NEC, PDOM",cfeec721-05e6-54fe-bb1f-71e2a0415b4d
"Emry, Lurker of the Loch",rare,,U,Legendary Creature — Merfolk Wizard,"BRC, ELD, MUL, NEC, PELD, SLC",c03c7d70-e58a-5fd7-b62e-0330910d2527
"Muzzio, Visionary Architect",mythic,,U,Legendary Creature — Human Artificer,"BRC, CNS, VMA",23c152a3-00be-544e-adfb-8c1625dbe328
"Padeem, Consul of Innovation",rare,,U,Legendary Creature — Vedalken Artificer,"BRC, CMM, KLD, KLR, PKLD",a09153fb-cc44-5985-b87d-5518b9b524c3
"Sai, Master Thopterist",rare,,U,Legendary Creature — Human Artificer,"BRC, CMM, M19, NEC, PM19",9155fc2f-fcb4-5d27-99d6-56c75abaec25
"Fain, the Broker",rare,,B,Legendary Creature — Human Warlock,"BRC, C21, OTC, PRM",25cb3012-4542-5378-8188-65a15233f982
"Slobad, Goblin Tinkerer",rare,,R,Legendary Creature — Goblin Artificer,"BRC, C16, DST, PLST",551beb6c-a72a-5619-ad73-8b08d75a7bee
"Alela, Artful Provocateur",mythic,,"B, U, W",Legendary Creature — Faerie Warlock,"BRC, ELD, NCC, SLD",41cedf40-6152-57da-9587-0f22aab5ef38
"Endrek Sahr, Master Breeder",rare,,B,Legendary Creature — Human Wizard,"C13, CMM, MM2, PLST, TSP",619181ce-dec5-52ba-ac58-6d6e094e7194
"Hua Tuo, Honored Physician",rare,,G,Legendary Creature — Human,"C13, ME3, PLST, PTK",5322072d-6d17-5c49-ba23-4da26f09ae52
"Derevi, Empyrial Tactician",mythic,,"G, U, W",Legendary Creature — Bird Wizard,"C13, CMA, CMR, OC13, PRM",6aeb7e28-ff4a-5dfb-8da4-b898c08be82a
"Gahiji, Honored One",mythic,,"G, R, W",Legendary Creature — Beast,"C13, NCC, OC13",d194ed19-0140-5392-8032-1bdc882946d2
"Marath, Will of the Wild",mythic,,"G, R, W",Legendary Creature — Elemental Beast,"C13, CMR, OC13, PRM",a6d2c329-a4f2-5faf-b273-c955becd3310
"Nekusar, the Mindrazer",mythic,,"B, R, U",Legendary Creature — Zombie Wizard,"C13, CMM, CMR, J14, OC13, PRM, SLD",d696deb5-b8b6-5b92-a5b7-6652d0972c03
"Oloro, Ageless Ascetic",mythic,,"B, U, W",Legendary Creature — Giant Soldier,"C13, J14, OC13, PLST, PRM",4a13ab90-6b38-540a-97f4-00ad5fc5e4ee
"Sydri, Galvanic Genius",mythic,,"B, U, W",Legendary Creature — Human Artificer,"C13, C16, OC13",c4f37a6a-c010-5193-89fe-6a9c126f025f
Jazal Goldmane,mythic,,W,Legendary Creature — Cat Warrior,"C14, C17, CLB, CMM, DMC, PLST",d11ff604-d0f4-5ce3-a9ac-540f625e05cc
Stitcher Geralf,mythic,,U,Legendary Creature — Human Wizard,"C14, CMM, MIC",ca999265-e3da-5517-8cb2-a25d47d7d2cb
Ghoulcaller Gisa,mythic,,B,Legendary Creature — Human Wizard,"C14, CC2, CMM, JMP",35d1cb9e-a0a4-5e1a-baa3-d92d7d7b0bbc
Feldon of the Third Path,mythic,,R,Legendary Creature — Human Artificer,"C14, C19, C21, CM2, J15, MOC, PLST, PRM, TSR",e813ab98-d618-5d1b-bdde-a1ae326af8da
"Titania, Protector of Argoth",mythic,,G,Legendary Creature — Elemental,"C14, CMA, MH2, OTC, PLST, PRM, PZ1",7f4b21e4-d2b1-59d5-9657-0dd4fc706e10
"Lorthos, the Tidemaker",mythic,,U,Legendary Creature — Octopus,"C14, CMM, PLST, ZEN",9644a48f-eca1-5c52-a7b3-c1d51b4b3282
"Drana, Kalastria Bloodchief",rare,,B,Legendary Creature — Vampire Shaman,"C14, C17, PLST, ROE",01d8e080-b7cb-5bc0-b1cf-9b86cd65d31d
"Ezuri, Renegade Leader",rare,,G,Legendary Creature — Elf Warrior,"C14, CMA, DDU, PLST, SOM",ff5cef23-86d3-5887-9008-8e1d75ae10cb
"Anya, Merciless Angel",mythic,,"R, W",Legendary Creature — Angel,"C15, CM2, MKC, PZ1",48394e52-f005-5c5b-9de2-a3aafb10809b
Daxos the Returned,mythic,,"B, W",Legendary Creature — Zombie Soldier,"C15, OC15, PLST, PZ1",7b1606ec-0156-5d7a-8e15-0e47ba18e763
Karlov of the Ghost Council,mythic,,"B, W",Legendary Creature — Spirit Advisor,"C15, PJ21, PZ1, RVR",dddbc912-9806-5392-be14-37bd20be42e5
"Kaseto, Orochi Archmage",mythic,,"G, U",Legendary Creature — Snake Wizard,"C15, C21, PLST, PZ1",8fa0269e-6647-5963-b660-4c497c8cb500
Meren of Clan Nel Toth,mythic,,"B, G",Legendary Creature — Human Shaman,"C15, CMA, CMM, OC15, PLST, PZ1, SLD",5d810202-f0e0-521d-a455-6e3f18951956
"Melek, Izzet Paragon",rare,,"R, U",Legendary Creature — Weird Wizard,"C15, C20, CMM, DGM, PDGM, PRM",db6fe3ee-33bc-55d7-b7a1-6a6a606995d8
Prime Speaker Zegana,mythic,,"G, U",Legendary Creature — Merfolk Wizard,"C15, GTC, LCC, RVR",043f68d9-9681-5466-bb3c-5e51495d8d24
"Teysa, Envoy of Ghosts",rare,,"B, W",Legendary Creature — Human Advisor,"C15, C21, DGM",8f1fbd5c-0f7c-559b-97eb-16051020fce2
"Akiri, Line-Slinger",rare,,"R, W",Legendary Creature — Kor Soldier Ally,"C16, CMR, PRM, PZ2",ff4cc9c8-2b05-5237-af1c-2095ca3e5383
"Bruse Tarl, Boorish Herder",mythic,,"R, W",Legendary Creature — Human Ally,"C16, CMR, PRM, PZ2",cc26e7c9-1dd8-5600-a25a-e3be30ae36b1
"Ikra Shidiqi, the Usurper",mythic,,"B, G",Legendary Creature — Naga Wizard,"C16, CM2, CMR, PRM, PZ2",849bab65-d935-5dd8-8efc-f0b9b1c277d1
"Ishai, Ojutai Dragonspeaker",mythic,,"U, W",Legendary Creature — Bird Monk,"C16, CM2, CMR, PRM, PZ2",5fe8908f-cb18-5a6e-b903-7dd94d247bb8
